编号,供应商名称,描述
无锡市亚光特种车窗有限公司,无锡市亚光特种车窗有限公司,玻璃
无锡市宏宇汽车配件制造有限公司,无锡市宏宇汽车配件制造有限公司,Z140028 扶手
无锡池通荣丰汽车材料有限公司,无锡池通荣丰汽车材料有限公司,地板革、珠海公交点单供应商
无锡苏南异型钢管有限公司,无锡苏南异型钢管有限公司,Z150106 无缝钢管
无锡鑫华泰汽车配件厂,无锡鑫华泰汽车配件厂,Z150079 车轮装饰罩
易兰普汽车内饰件（北京）有限公司,易兰普汽车内饰件（北京）有限公司,风道
易码科技（北京）有限公司,易码科技（北京）有限公司,Z150048 合格证
曲阜天博汽车电器有限公司,曲阜天博汽车电器有限公司,Z150040 高低音喇叭
杭州图软科技有限公司,杭州图软科技有限公司,Z140032 车载IC卡机
杭州康达工具有限公司,杭州康达工具有限公司,Z150001 随车工具
杭州海康威视数字技术股份有限公司,杭州海康威视数字技术股份有限公司,Z120050 车道偏离（ADAS）
杭州祥和实业有限公司,杭州祥和实业有限公司,Z120079 车用空调
杭州雷利新能源科技有限公司,杭州雷利新能源科技有限公司,Z150101 电子水泵
杭州鸿泉物联网技术股份有限公司,杭州鸿泉物联网技术股份有限公司,Z120047 新能源车载终端
横琴濠港汽车配件有限公司,横琴濠港汽车配件有限公司,Z130033 暖风系统雷奥代理
欧科佳（上海）汽车电子设备有限公司,欧科佳（上海）汽车电子设备有限公司,Z120082 组合仪表
正兴集团合肥车轮有限公司,正兴集团合肥车轮有限公司,Z120065 钢圈
武汉合康智能电气有限公司,武汉合康智能电气有限公司,充电机、充电弓
武汉星王汽车电器有限责任公司,武汉星王汽车电器有限责任公司,Z140014 整车线束
武汉松芝车用空调有限公司,武汉松芝车用空调有限公司,空调
武汉标迪电子科技有限公司,武汉标迪电子科技有限公司,Z150112 熔断器
武汉楚域现代客车内饰件有限公司,武汉楚域现代客车内饰件有限公司,Z140008 挤塑
武汉理工大学汽车工程学院,武汉理工大学汽车工程学院,Z130035
武汉蓝台创达科技有限责任公司,武汉蓝台创达科技有限责任公司,工具箱
汉纳森(厦门)数据股份有限公司,汉纳森(厦门)数据股份有限公司,Z120041 CAN总线
江苏中远消防设备有限公司,江苏中远消防设备有限公司,Z120048 电池舱灭火装置
江苏亚宝车业有限公司,江苏亚宝车业有限公司,Z140035 风道、仪表台
江苏亚楠电子科技有限公司,江苏亚楠电子科技有限公司,Z140029 电器箱、多功能箱
江苏先昌电能部件有限公司,江苏先昌电能部件有限公司,Z140027 扶手护栏
江苏光明环境设备有限公司,江苏光明环境设备有限公司,Z220001 升降台
